company,date,revenue,expense,cogs,gross_profit,operating_profit,net_profit,category,region
AlphaCorp,2023-03-15,1279.95,872.29,579.67,700.28,360.43,270.38,HR,East
AlphaCorp,2023-03-16,1344.19,1119.94,777.32,566.87,341.64,240.4,Operations,East
AlphaCorp,2023-03-17,1581.08,2768.73,1567.8,13.28,-947.28,-1057.21,Marketing,South
AlphaCorp,2023-03-18,1339.33,823.91,456.26,883.07,678.89,573.71,IT,South
AlphaCorp,2023-03-19,1169.69,862.9,488.49,681.2,346.06,262.35,HR,East
AlphaCorp,2023-03-20,1864.76,1587.41,984.42,880.34,535.08,407.45,Operations,West
AlphaCorp,2023-03-21,1387.78,927.23,633.91,753.87,477.51,362.63,Operations,South
AlphaCorp,2023-03-22,1785.98,1187.06,808.9,977.08,525.95,402.96,IT,North
AlphaCorp,2023-03-23,1385.38,912.54,528.92,856.46,645.28,564.56,HR,North
AlphaCorp,2023-03-24,1959.35,1524.46,927.36,1031.98,506.56,365.42,IT,West
AlphaCorp,2023-03-25,1722.47,2047.62,1140.0,582.48,-85.63,-186.87,Marketing,West
AlphaCorp,2023-03-26,1954.07,1742.17,872.18,1081.89,672.24,602.95,Marketing,North
AlphaCorp,2023-03-27,1873.76,1202.39,796.41,1077.35,609.85,536.02,IT,North
AlphaCorp,2023-03-28,1761.38,1447.09,980.44,780.94,403.41,305.26,Operations,North
AlphaCorp,2023-03-29,1338.88,871.81,494.74,844.14,664.89,556.27,IT,South
AlphaCorp,2023-03-30,1137.78,674.39,426.41,711.37,476.25,422.9,HR,North
AlphaCorp,2023-03-31,1556.59,975.31,682.7,873.88,651.48,593.55,IT,South
AlphaCorp,2023-04-01,1089.35,619.45,393.79,695.56,521.98,378.95,HR,East
AlphaCorp,2023-04-02,1431.38,1250.59,721.18,710.19,365.89,224.92,Operations,North
AlphaCorp,2023-04-03,1425.83,1209.93,632.93,792.9,377.46,286.95,HR,West
AlphaCorp,2023-04-04,1237.12,1029.09,543.79,693.33,361.16,273.33,HR,North
AlphaCorp,2023-04-05,1291.15,826.46,487.64,803.5,561.16,431.58,IT,East
AlphaCorp,2023-04-06,1098.68,846.98,529.45,569.23,348.08,201.12,HR,East
AlphaCorp,2023-04-07,1648.85,1271.06,712.78,936.07,483.96,343.47,IT,East
AlphaCorp,2023-04-08,1451.34,1051.66,586.82,864.53,474.38,358.11,IT,East
AlphaCorp,2023-04-09,1825.71,1155.36,609.2,1216.51,758.77,663.59,IT,North
AlphaCorp,2023-04-10,1737.91,2829.2,1435.18,302.74,-493.38,-588.89,Marketing,South
AlphaCorp,2023-04-11,1537.48,1895.64,952.5,584.97,30.03,-110.87,Marketing,West
AlphaCorp,2023-04-12,1600.76,1269.87,765.99,834.77,418.95,353.15,Operations,West
AlphaCorp,2023-04-13,2423.62,4028.08,2419.27,4.36,-1579.89,-1715.67,Marketing,West
AlphaCorp,2023-04-14,1528.8,901.71,502.33,1026.47,747.8,669.45,Operations,South
AlphaCorp,2023-04-15,1458.46,1045.49,642.93,815.53,539.38,453.7,HR,North
AlphaCorp,2023-04-16,1637.66,1132.18,750.86,886.79,503.77,257.05,Operations,West
AlphaCorp,2023-04-17,2159.77,1907.83,1297.24,862.53,224.64,98.37,Marketing,North
AlphaCorp,2023-04-18,1491.08,947.16,632.37,858.71,484.21,366.17,Operations,East
AlphaCorp,2023-04-19,1668.97,1622.19,943.07,725.89,241.6,125.1,Operations,North
AlphaCorp,2023-04-20,1615.85,3357.49,2045.76,-429.92,-1544.26,-1620.82,IT,East
AlphaCorp,2023-04-21,1555.16,1160.72,596.68,958.49,542.84,412.46,IT,South
AlphaCorp,2023-04-22,1553.45,976.13,608.69,944.76,568.17,445.21,Operations,East
AlphaCorp,2023-04-23,1402.0,1163.6,804.12,597.88,236.12,172.21,Marketing,East
AlphaCorp,2023-04-24,1063.35,665.57,446.14,617.21,448.76,356.79,HR,South
AlphaCorp,2023-04-25,2393.93,2489.15,1357.72,1036.21,293.6,144.97,Marketing,West
AlphaCorp,2023-04-26,1429.11,1096.24,625.12,803.99,377.5,296.99,IT,South
AlphaCorp,2023-04-27,1341.85,572.58,364.6,977.24,832.38,721.67,HR,North
AlphaCorp,2023-04-28,2277.97,4451.84,2404.01,-126.04,-1803.44,-1857.67,Marketing,North
AlphaCorp,2023-04-29,1619.91,1273.67,647.02,972.89,499.48,379.93,IT,East
AlphaCorp,2023-04-30,1494.22,1412.35,919.32,574.9,260.54,123.01,Operations,North
AlphaCorp,2023-05-01,1592.09,1282.67,756.02,836.06,571.98,439.85,IT,North
AlphaCorp,2023-05-02,1508.7,1258.52,745.67,763.02,412.43,354.64,Operations,North
AlphaCorp,2023-05-03,1618.81,1460.34,772.76,846.05,302.27,184.84,Operations,West
AlphaCorp,2023-05-04,1582.63,1035.4,592.65,989.99,616.75,531.17,Operations,North
AlphaCorp,2023-05-05,1030.63,587.82,341.29,689.35,561.95,487.95,HR,East
AlphaCorp,2023-05-06,1605.44,1428.58,783.6,821.85,275.15,156.69,IT,North
AlphaCorp,2023-05-07,1875.7,1545.02,1035.12,840.58,378.28,242.43,IT,West
AlphaCorp,2023-05-08,1733.54,1382.5,955.3,778.25,463.76,336.09,Operations,West
AlphaCorp,2023-05-09,1018.62,610.79,367.76,650.86,512.75,426.93,HR,South
AlphaCorp,2023-05-10,1255.05,1927.71,1297.97,-42.92,-641.19,-714.97,HR,North
AlphaCorp,2023-05-11,1848.8,1732.11,1160.02,688.78,290.36,204.77,IT,North
AlphaCorp,2023-05-12,1901.72,1694.88,1034.56,867.16,294.95,223.79,Marketing,West
AlphaCorp,2023-05-13,1714.69,1482.75,798.41,916.28,564.84,442.07,Operations,North
AlphaCorp,2023-05-14,1459.6,1207.63,658.05,801.55,513.17,458.65,Marketing,South
AlphaCorp,2023-05-15,1775.52,1457.55,877.44,898.08,541.25,452.92,Operations,North
AlphaCorp,2023-05-16,1827.63,1243.72,801.17,1026.46,629.58,510.97,IT,North
AlphaCorp,2023-05-17,2147.49,1609.6,934.93,1212.56,700.6,645.47,IT,West
AlphaCorp,2023-05-18,1337.07,667.31,439.22,897.84,724.2,609.73,IT,South
AlphaCorp,2023-05-19,1150.71,654.54,455.76,694.96,436.77,302.18,HR,West
AlphaCorp,2023-05-20,1374.15,757.94,390.65,983.5,717.64,573.57,IT,South
AlphaCorp,2023-05-21,1694.27,1384.97,812.47,881.81,562.63,495.29,Operations,West
AlphaCorp,2023-05-22,1351.35,898.42,490.39,860.96,603.81,495.26,Operations,South
AlphaCorp,2023-05-23,1501.32,1066.15,605.84,895.48,610.97,532.51,Operations,East
AlphaCorp,2023-05-24,1597.42,1584.35,1006.41,591.01,-9.47,-85.33,Operations,North
AlphaCorp,2023-05-25,1316.58,918.27,552.91,763.67,577.6,520.5,Operations,East
AlphaCorp,2023-05-26,1924.73,2120.21,1250.75,673.98,211.18,140.21,Operations,West
AlphaCorp,2023-05-27,1222.58,814.54,461.06,761.52,476.19,341.51,HR,East
AlphaCorp,2023-05-28,1939.91,1828.19,1270.57,669.34,57.79,-80.46,Marketing,East
AlphaCorp,2023-05-29,1496.8,707.65,383.94,1112.86,847.48,786.41,IT,South
AlphaCorp,2023-05-30,1759.57,1649.48,865.85,893.72,330.67,261.84,Marketing,East
AlphaCorp,2023-05-31,1409.22,833.87,445.8,963.41,738.59,678.55,HR,West
AlphaCorp,2023-06-01,1287.72,849.24,460.88,826.85,503.6,370.74,IT,North
AlphaCorp,2023-06-02,1406.55,712.18,440.9,965.65,695.27,563.36,IT,East
AlphaCorp,2023-06-03,958.55,621.4,323.84,634.71,397.13,324.03,IT,South
AlphaCorp,2023-06-04,1523.34,1148.49,775.84,747.5,321.51,209.52,Operations,North
AlphaCorp,2023-06-05,1770.15,1628.5,1088.55,681.6,200.81,112.27,Operations,West
AlphaCorp,2023-06-06,2157.81,1852.69,1153.04,1004.77,496.43,358.6,Marketing,North
AlphaCorp,2023-06-07,1583.91,2618.28,1795.75,-211.85,-874.38,-957.62,Marketing,South
AlphaCorp,2023-06-08,1039.62,441.32,226.27,813.35,673.99,527.08,HR,North
AlphaCorp,2023-06-09,1017.91,1579.48,877.56,140.35,-402.36,-406.67,HR,West
AlphaCorp,2023-06-10,1468.98,905.01,630.73,838.25,582.09,451.2,IT,West
AlphaCorp,2023-06-11,1147.93,799.76,486.17,661.76,432.18,323.49,HR,East
AlphaCorp,2023-06-12,1796.64,1070.98,655.72,1140.92,766.1,630.09,IT,West
AlphaCorp,2023-06-13,1092.22,642.99,384.62,707.61,504.62,363.23,HR,North
AlphaCorp,2023-06-14,1391.09,1080.86,580.51,810.58,525.46,459.02,IT,North
AlphaCorp,2023-06-15,1865.64,1695.94,1142.91,722.72,273.44,196.97,Marketing,North
AlphaCorp,2023-06-16,1182.72,616.0,326.98,855.74,677.16,622.28,HR,North
AlphaCorp,2023-06-17,1239.5,1158.8,587.6,651.9,324.11,206.0,Operations,West
AlphaCorp,2023-06-18,1416.69,1247.68,852.0,564.68,165.82,58.52,IT,East
AlphaCorp,2023-06-19,949.19,376.49,201.74,747.44,645.49,525.04,HR,South
AlphaCorp,2023-06-20,1545.82,1099.72,604.51,941.3,610.43,559.45,Marketing,South
AlphaCorp,2023-06-21,1788.7,1643.37,980.07,808.63,400.39,266.55,Marketing,South
AlphaCorp,2023-06-22,1481.31,1592.88,1072.47,408.85,-83.61,-159.28,Operations,West
AlphaCorp,2023-06-23,1930.55,2301.87,1232.17,698.38,1.68,-98.4,Marketing,East
AlphaCorp,2023-06-24,1139.24,531.91,290.05,849.19,675.24,605.15,HR,West
AlphaCorp,2023-06-25,1728.37,1620.39,1101.34,627.03,181.86,125.91,Operations,West
AlphaCorp,2023-06-26,1888.44,1127.43,631.0,1257.44,933.43,805.74,IT,West
AlphaCorp,2023-06-27,1723.9,1715.61,1057.88,666.02,46.72,-57.58,Marketing,North
AlphaCorp,2023-06-28,951.43,1051.69,698.99,252.45,31.15,-70.73,HR,South
AlphaCorp,2023-06-29,1485.45,959.78,604.83,880.62,651.13,505.88,Operations,North
AlphaCorp,2023-06-30,1228.41,1127.69,628.81,599.61,330.47,255.48,Marketing,South
AlphaCorp,2023-07-01,2138.89,1976.88,1266.29,872.6,313.88,207.76,Marketing,West
AlphaCorp,2023-07-02,1144.62,863.97,595.25,549.37,299.46,157.0,Marketing,South
AlphaCorp,2023-07-03,1501.39,2458.92,1416.31,85.08,-486.18,-572.92,Marketing,East
AlphaCorp,2023-07-04,972.97,447.78,255.82,717.15,567.18,515.75,HR,East
AlphaCorp,2023-07-05,832.77,489.54,324.29,508.48,357.39,290.44,HR,South
AlphaCorp,2023-07-06,1375.0,1931.66,1016.6,358.41,-101.79,-196.83,Operations,North
AlphaCorp,2023-07-07,1702.61,1109.46,709.31,993.29,604.83,550.63,IT,West
AlphaCorp,2023-07-08,1314.2,1231.18,735.11,579.09,87.2,-13.69,Marketing,East
AlphaCorp,2023-07-09,969.76,583.94,400.46,569.3,359.35,283.99,HR,South
AlphaCorp,2023-07-10,1138.15,634.6,384.08,754.07,565.62,511.68,HR,North
AlphaCorp,2023-07-11,1926.37,2105.64,1080.24,846.13,289.66,119.88,Marketing,West
AlphaCorp,2023-07-12,1483.26,965.81,575.74,907.52,594.33,445.42,IT,East
AlphaCorp,2023-07-13,1480.02,1256.15,672.29,807.73,406.95,329.54,IT,West
AlphaCorp,2023-07-14,963.84,407.98,269.13,694.71,577.58,476.07,HR,East
AlphaCorp,2023-07-15,1667.02,1269.38,646.05,1020.98,614.19,514.78,Marketing,East
AlphaCorp,2023-07-16,1552.53,1676.14,1030.17,522.36,-142.84,-273.0,Marketing,East
AlphaCorp,2023-07-17,1390.72,1422.42,752.74,637.98,161.5,21.69,Operations,North
AlphaCorp,2023-07-18,1104.75,677.61,398.52,706.22,511.55,400.17,HR,East
AlphaCorp,2023-07-19,1536.55,1919.9,1235.85,300.7,-455.63,-534.21,Marketing,North
AlphaCorp,2023-07-20,1215.93,876.98,599.95,615.98,348.75,223.47,Operations,East
AlphaCorp,2023-07-21,1457.56,1123.72,578.12,879.44,620.25,512.01,IT,North
AlphaCorp,2023-07-22,1550.48,1167.11,793.63,756.84,364.98,259.65,Marketing,East
AlphaCorp,2023-07-23,1258.63,1161.67,686.37,572.26,118.98,-2.68,Operations,East
AlphaCorp,2023-07-24,1268.38,966.54,600.46,667.92,411.71,325.43,HR,West
AlphaCorp,2023-07-25,1242.42,617.54,318.92,923.5,699.38,623.21,HR,North
AlphaCorp,2023-07-26,1856.58,2090.31,1083.02,773.56,71.57,2.85,Marketing,North
AlphaCorp,2023-07-27,1425.54,1072.79,597.23,828.31,460.63,385.81,IT,South
AlphaCorp,2023-07-28,1469.87,1098.09,689.63,780.23,372.42,225.32,Operations,South
AlphaCorp,2023-07-29,1347.59,1272.87,681.71,665.88,328.27,194.33,Operations,East
AlphaCorp,2023-07-30,1392.49,920.4,545.44,847.06,599.65,535.89,Operations,North
AlphaCorp,2023-07-31,1701.46,1384.27,717.11,984.35,461.75,324.22,Operations,North
AlphaCorp,2023-08-01,1362.84,2767.58,1504.78,-141.95,-815.22,-871.37,Operations,West
AlphaCorp,2023-08-02,1350.43,1184.31,676.29,674.13,235.75,138.89,Operations,East
AlphaCorp,2023-08-03,1491.73,1050.37,629.5,862.22,548.23,417.06,Operations,West
AlphaCorp,2023-08-04,1245.23,917.36,636.36,608.88,331.08,251.65,Operations,North
AlphaCorp,2023-08-05,933.96,367.16,192.77,741.19,631.96,535.11,HR,South
AlphaCorp,2023-08-06,1533.64,916.12,596.57,937.07,625.4,512.31,IT,North
AlphaCorp,2023-08-07,1732.69,1677.57,1127.78,604.91,257.69,162.94,IT,West
AlphaCorp,2023-08-08,1371.2,1335.29,788.59,582.61,59.26,0.95,Operations,North
AlphaCorp,2023-08-09,1300.85,923.85,574.19,726.65,488.72,432.6,IT,South
AlphaCorp,2023-08-10,1347.53,923.63,610.75,736.78,387.59,278.19,Operations,South
AlphaCorp,2023-08-11,1455.77,1382.67,802.84,652.93,291.86,236.07,Operations,West
AlphaCorp,2023-08-12,1577.89,1164.38,737.92,839.98,479.78,383.54,IT,East
AlphaCorp,2023-08-13,1053.24,863.87,509.69,543.55,368.84,241.14,HR,West
AlphaCorp,2023-08-14,1490.5,1146.32,710.91,779.58,389.13,314.29,Operations,West
AlphaCorp,2023-08-15,1113.02,529.24,284.52,828.5,623.39,558.5,HR,North
AlphaCorp,2023-08-16,1319.66,1066.08,663.29,656.37,315.51,218.15,IT,South
AlphaCorp,2023-08-17,1652.17,1179.1,686.8,965.37,654.21,545.64,Marketing,South
AlphaCorp,2023-08-18,951.84,471.56,311.46,640.38,544.04,485.98,HR,South
AlphaCorp,2023-08-19,1201.93,979.66,541.7,660.23,458.51,403.73,HR,North
AlphaCorp,2023-08-20,1101.06,606.81,384.94,716.12,531.97,287.96,HR,West
AlphaCorp,2023-08-21,1218.32,880.56,515.44,702.88,353.22,273.25,Operations,East
AlphaCorp,2023-08-22,980.33,689.69,477.09,503.24,268.84,143.17,HR,South
AlphaCorp,2023-08-23,1486.64,1260.77,866.03,620.61,135.69,67.29,Marketing,East
AlphaCorp,2023-08-24,1076.55,645.9,438.95,637.59,485.61,347.03,HR,East
AlphaCorp,2023-08-25,1446.82,2575.38,1303.68,143.14,-697.89,-755.05,Operations,North
AlphaCorp,2023-08-26,1059.76,757.48,491.66,568.1,408.12,268.23,HR,North
AlphaCorp,2023-08-27,1324.35,1000.99,582.3,742.04,346.71,271.48,HR,North
AlphaCorp,2023-08-28,1746.68,1633.57,852.34,894.34,360.46,233.42,Marketing,South
AlphaCorp,2023-08-29,1132.65,703.97,428.84,703.81,441.65,288.67,HR,West
AlphaCorp,2023-08-30,1404.65,1346.75,786.7,617.95,202.52,149.71,Operations,East
AlphaCorp,2023-08-31,1881.89,2587.59,1809.28,72.61,-703.06,-769.24,Marketing,West
AlphaCorp,2023-09-01,1001.89,446.84,284.37,717.52,619.42,523.43,HR,North
AlphaCorp,2023-09-02,991.93,551.02,281.37,710.57,573.18,448.39,HR,North
AlphaCorp,2023-09-03,1593.86,1744.66,1007.32,586.54,25.97,-55.05,Marketing,North
AlphaCorp,2023-09-04,1744.63,1028.87,701.47,1043.16,812.05,723.61,IT,North
AlphaCorp,2023-09-05,1585.9,1262.04,677.52,908.38,573.85,511.88,Marketing,North
AlphaCorp,2023-09-06,948.63,562.95,374.84,573.79,397.04,282.29,HR,South
AlphaCorp,2023-09-07,1599.35,899.73,612.32,987.03,670.16,615.11,IT,South
AlphaCorp,2023-09-08,1694.39,1581.21,919.74,774.65,163.12,69.04,IT,West
AlphaCorp,2023-09-09,1476.99,1356.4,695.96,781.03,353.55,183.56,Operations,West
AlphaCorp,2023-09-10,1147.39,864.62,540.81,606.58,368.09,304.09,Operations,South
AlphaCorp,2023-09-11,973.81,602.98,397.79,576.02,415.22,273.75,Operations,South
AlphaCorp,2023-09-12,1222.46,1183.85,799.72,422.74,106.25,50.13,Operations,East
AlphaCorp,2023-09-13,938.7,679.84,396.51,542.19,328.74,262.99,Marketing,South
AlphaCorp,2023-09-14,1418.86,1110.99,634.58,784.28,528.02,378.78,Operations,North
AlphaCorp,2023-09-15,1677.75,1529.06,976.17,701.57,210.15,78.92,Marketing,West
AlphaCorp,2023-09-16,1579.36,1440.02,868.47,710.9,414.33,332.0,Operations,West
AlphaCorp,2023-09-17,1360.51,1218.15,819.12,541.4,225.66,104.51,Operations,West
AlphaCorp,2023-09-18,1831.64,1755.29,1088.9,742.75,50.4,-13.82,Marketing,North
AlphaCorp,2023-09-19,1447.9,1243.42,623.07,824.83,434.66,303.86,Operations,East
AlphaCorp,2023-09-20,810.6,503.28,295.6,515.0,320.21,208.25,HR,South
AlphaCorp,2023-09-21,1005.32,570.78,376.5,628.83,459.75,339.17,HR,South
AlphaCorp,2023-09-22,1053.01,684.2,430.89,622.12,468.38,237.84,HR,West
AlphaCorp,2023-09-23,1460.88,1525.75,879.42,581.46,57.96,5.3,Operations,North
AlphaCorp,2023-09-24,1026.21,602.53,312.15,714.06,479.89,338.08,HR,East
AlphaCorp,2023-09-25,1506.97,899.35,477.09,1029.89,682.18,594.47,IT,North
AlphaCorp,2023-09-26,1662.18,1372.02,903.59,758.59,380.03,293.15,Marketing,East
AlphaCorp,2023-09-27,1627.56,1177.32,628.24,999.32,663.27,575.33,Operations,North
AlphaCorp,2023-09-28,1158.82,863.05,558.19,600.63,372.54,230.39,Operations,East
AlphaCorp,2023-09-29,1218.11,773.74,489.5,728.6,423.78,284.09,HR,East
AlphaCorp,2023-09-30,1329.96,629.99,317.89,1012.08,824.31,743.96,HR,West
AlphaCorp,2023-10-01,1746.84,1758.0,1016.42,730.42,325.78,271.01,Marketing,North
AlphaCorp,2023-10-02,1256.24,697.52,420.54,835.7,564.3,514.16,Operations,South
AlphaCorp,2023-10-03,1623.5,1450.44,740.36,883.15,583.69,435.48,Operations,North
AlphaCorp,2023-10-04,1144.33,1121.79,748.16,396.17,89.67,16.78,Operations,East
AlphaCorp,2023-10-05,1494.68,1114.14,606.91,887.77,634.64,535.65,Operations,North
AlphaCorp,2023-10-06,1413.91,1582.76,1024.16,389.75,43.56,-62.03,Marketing,East
AlphaCorp,2023-10-07,1291.85,1395.81,775.75,516.1,59.94,-30.68,Marketing,West
AlphaCorp,2023-10-08,1663.0,1444.53,779.11,883.89,357.75,282.02,Operations,North
AlphaCorp,2023-10-09,1302.42,974.08,671.61,630.81,291.41,233.23,Operations,East
AlphaCorp,2023-10-10,1049.14,662.02,380.82,668.32,430.56,317.8,Operations,East
AlphaCorp,2023-10-11,1264.53,1229.22,654.65,609.88,127.76,-19.89,Operations,East
AlphaCorp,2023-10-12,1274.01,1398.97,897.97,376.03,-168.01,-262.01,Marketing,East
AlphaCorp,2023-10-13,1491.09,1239.34,770.79,720.3,318.11,211.61,Marketing,South
AlphaCorp,2023-10-14,1390.69,1380.99,827.33,563.36,98.61,2.98,Operations,East
AlphaCorp,2023-10-15,1344.16,869.68,564.73,779.43,544.57,428.24,IT,South
AlphaCorp,2023-10-16,1974.68,1673.98,1069.4,905.29,483.29,348.85,IT,West
AlphaCorp,2023-10-17,1559.26,733.04,442.35,1116.9,940.75,838.0,IT,South
AlphaCorp,2023-10-18,1464.53,1335.63,724.93,739.61,262.41,200.65,Operations,North
AlphaCorp,2023-10-19,1602.66,1266.33,739.11,863.55,527.34,438.73,Operations,South
AlphaCorp,2023-10-20,1668.23,1698.03,1013.04,655.19,120.86,0.3,Marketing,East
AlphaCorp,2023-10-21,1369.7,900.69,456.76,912.94,698.42,575.96,Operations,South
AlphaCorp,2023-10-22,1173.15,424.63,281.62,891.53,786.64,664.78,HR,South
AlphaCorp,2023-10-23,1567.61,1274.39,860.79,706.83,201.38,128.44,Marketing,South
AlphaCorp,2023-10-24,1443.76,1124.29,667.13,776.63,547.21,439.54,Marketing,South
